Year,Plot,Achmi,Agrsm,Amoca,Petca,Andge,Asctu,Elyca,Koecr,Lesca,Liaas,Luppe,Monfi,Solri,Panvi,Petpu,Poapr,Schsc,Sornu,AbvBioAnnProd
2001,X142,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,113.125
2001,X146,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,270.25
2001,X149,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,270.909
2001,X151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.392
2001,X153,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.226
2001,X156,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,186.254
2001,X157,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,59.458
2001,X160,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,150.552
2001,X161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.098
2001,X163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,107.779
2001,X164,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,225.166
2001,X165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,81.55
2001,X167,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,159.151
2001,X168,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,108.996
2001,X169,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,366.096
2001,X170,1,0,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,185.046
2001,X171,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,208.973
2001,X174,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,359.38
2001,X175,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,351.046
2001,X176,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,211.97
2001,X177,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,227.317
