,MSW05_Binomial,MSW05_Order,MSW05_Family,AdultBodyMass_g,GR_Area_km2,RedList
1,Abditomys_latidens,Rodentia,Muridae,268.09,356.58,DD
2,Abeomelomys_sevia,Rodentia,Muridae,54.88,53261.73,LC
3,Abrawayaomys_ruschii,Rodentia,Cricetidae,62.99,126137.48,LC
4,Abrocoma_bennettii,Rodentia,Abrocomidae,250.5,54615.98,LC
5,Abrocoma_boliviensis,Rodentia,Abrocomidae,158,5773.97,CR
6,Abrocoma_budini,Rodentia,Abrocomidae,NA,NA,DD
7,Abrocoma_cinerea,Rodentia,Abrocomidae,193.64,381391.02,LC
8,Abrocoma_famatina,Rodentia,Abrocomidae,NA,NA,DD
9,Abrocoma_shistacea,Rodentia,Abrocomidae,NA,NA,DD
10,Abrocoma_uspallata,Rodentia,Abrocomidae,NA,NA,DD
11,Abrocoma_vaccarum,Rodentia,Abrocomidae,NA,NA,DD
12,Abrothrix_andinus,Rodentia,Cricetidae,24.91,722551.83,LC
13,Abrothrix_hershkovitzi,Rodentia,Cricetidae,NA,1775.72,LC
14,Abrothrix_illuteus,Rodentia,Cricetidae,47.79,35359.55,NT
15,Abrothrix_jelskii,Rodentia,Cricetidae,34.5,506394.71,LC
16,Abrothrix_lanosus,Rodentia,Cricetidae,27.83,43016.67,LC
17,Abrothrix_longipilis,Rodentia,Cricetidae,38.86,423823.71,LC
18,Abrothrix_markhami,Rodentia,Cricetidae,NA,6084.17,LC
19,Abrothrix_olivaceus,Rodentia,Cricetidae,24.52,915499.44,LC
20,Abrothrix_sanborni,Rodentia,Cricetidae,24.7,18335.19,NT
21,Acerodon_celebensis,Chiroptera,Pteropodidae,384.84,173613.3,LC
22,Acerodon_humilis,Chiroptera,Pteropodidae,NA,87.45,EN
23,Acerodon_jubatus,Chiroptera,Pteropodidae,1087.04,261660.73,EN
24,Acerodon_leucotis,Chiroptera,Pteropodidae,NA,12831.86,VU
25,Acerodon_mackloti,Chiroptera,Pteropodidae,467.93,74770.92,VU
26,Acinonyx_jubatus,Carnivora,Felidae,50577.92,10586306.53,VU
27,Acomys_airensis,Rodentia,Muridae,NA,NA,LC
28,Acomys_cahirinus,Rodentia,Muridae,41.16,NA,LC
29,Acomys_cilicicus,Rodentia,Muridae,NA,404.16,DD
30,Acomys_cineraceus,Rodentia,Muridae,NA,NA,LC
31,Acomys_dimidiatus,Rodentia,Muridae,NA,3325550.32,LC
32,Acomys_ignitus,Rodentia,Muridae,NA,156581.97,LC
33,Acomys_johannis,Rodentia,Muridae,NA,NA,LC
34,Acomys_kempi,Rodentia,Muridae,21.99,358017.73,LC
35,Acomys_louisae,Rodentia,Muridae,20.19,320804.61,LC
36,Acomys_minous,Rodentia,Muridae,62.5,8190.7,DD
37,Acomys_mullah,Rodentia,Muridae,NA,152076.39,LC
38,Acomys_nesiotes,Rodentia,Muridae,NA,9293.99,DD
39,Acomys_percivali,Rodentia,Muridae,21.99,686807.37,LC
40,Acomys_russatus,Rodentia,Muridae,42.35,800320.84,LC
41,Acomys_seurati,Rodentia,Muridae,NA,NA,LC
42,Acomys_spinosissimus,Rodentia,Muridae,26.5,2826979.35,LC
43,Acomys_subspinosus,Rodentia,Muridae,21.92,126595.8,LC
44,Acomys_wilsoni,Rodentia,Muridae,18.5,1322637.93,LC
45,Aconaemys_fuscus,Rodentia,Octodontidae,129.95,NA,LC
46,Aconaemys_porteri,Rodentia,Octodontidae,NA,NA,DD
47,Aconaemys_sagei,Rodentia,Octodontidae,96.49,10262.34,DD
48,Acrobates_pygmaeus,Diprotodontia,Acrobatidae,13.84,1691398.78,LC
49,Addax_nasomaculatus,Artiodactyla,Bovidae,96077.36,1168708.88,CR
50,Aepeomys_lugens,Rodentia,Cricetidae,37,83652.35,LC
51,Aepeomys_reigi,Rodentia,Cricetidae,NA,NA,VU
52,Aepyceros_melampus,Artiodactyla,Bovidae,52591.69,3926868.66,LC
53,Aepyprymnus_rufescens,Diprotodontia,Potoroidae,2810.31,641274.9,LC
54,Aeretes_melanopterus,Rodentia,Sciuridae,NA,80788.68,NT
55,Aeromys_tephromelas,Rodentia,Sciuridae,1187,283378.84,DD
56,Aeromys_thomasi,Rodentia,Sciuridae,1430.19,122621.55,DD
57,Aethalops_aequalis,Chiroptera,Pteropodidae,NA,20667.22,LC
58,Aethalops_alecto,Chiroptera,Pteropodidae,15,110914.61,LC
59,Aethomys_bocagei,Rodentia,Muridae,NA,133883.67,LC
60,Aethomys_chrysophilus,Rodentia,Muridae,80.85,5508479.37,LC
61,Aethomys_hindei,Rodentia,Muridae,140.65,2209180.32,LC
62,Aethomys_ineptus,Rodentia,Muridae,133.16,NA,LC
63,Aethomys_kaiseri,Rodentia,Muridae,89.99,2751633.59,LC
64,Aethomys_nyikae,Rodentia,Muridae,NA,1442818.13,LC
65,Aethomys_silindensis,Rodentia,Muridae,NA,77194.26,DD
66,Aethomys_stannarius,Rodentia,Muridae,NA,285522.83,DD
67,Aethomys_thomasi,Rodentia,Muridae,NA,189059.96,LC
68,Ailuropoda_melanoleuca,Carnivora,Ursidae,117999.99,36206.89,EN
69,Ailurops_melanotis,Diprotodontia,Phalangeridae,NA,NA,CR
70,Ailurops_ursinus,Diprotodontia,Phalangeridae,10000,175900.06,VU
71,Ailurus_fulgens,Carnivora,Ailuridae,5170.08,1075406.59,VU
72,Akodon_aerosus,Rodentia,Cricetidae,59.99,160799.5,LC
73,Akodon_affinis,Rodentia,Cricetidae,24.89,55129.8,LC
74,Akodon_albiventer,Rodentia,Cricetidae,25.95,425856.2,LC
75,Akodon_aliquantulus,Rodentia,Cricetidae,NA,NA,DD
76,Akodon_azarae,Rodentia,Cricetidae,25.27,1071237.32,LC
77,Akodon_bogotensis,Rodentia,Cricetidae,12.99,117248.52,LC
78,Akodon_boliviensis,Rodentia,Cricetidae,27.5,530195.66,LC
79,Akodon_budini,Rodentia,Cricetidae,26.9,20316.47,LC
80,Akodon_cursor,Rodentia,Cricetidae,39.84,1450284.06,LC
81,Akodon_dayi,Rodentia,Cricetidae,32.49,290923.1,LC
82,Akodon_dolores,Rodentia,Cricetidae,50.49,72177.75,LC
83,Akodon_fumeus,Rodentia,Cricetidae,22.69,176335.16,LC
84,Akodon_iniscatus,Rodentia,Cricetidae,28.7,395416.66,LC
85,Akodon_juninensis,Rodentia,Cricetidae,38.99,164823.93,LC
86,Akodon_kofordi,Rodentia,Cricetidae,29.49,21268.55,LC
87,Akodon_latebricola,Rodentia,Cricetidae,38.99,62437.75,VU
88,Akodon_leucolimnaeus,Rodentia,Cricetidae,NA,NA,DD
89,Akodon_lindberghi,Rodentia,Cricetidae,26.4,2400.72,DD
90,Akodon_lutescens,Rodentia,Cricetidae,20.69,318909.65,LC
91,Akodon_mimus,Rodentia,Cricetidae,23.99,76741.65,LC
92,Akodon_molinae,Rodentia,Cricetidae,32.99,139180.17,LC
93,Akodon_mollis,Rodentia,Cricetidae,30.39,96269.64,LC
94,Akodon_montensis,Rodentia,Cricetidae,NA,NA,LC
95,Akodon_mystax,Rodentia,Cricetidae,NA,NA,DD
96,Akodon_neocenus,Rodentia,Cricetidae,42.39,74279.32,DD
97,Akodon_oenos,Rodentia,Cricetidae,NA,NA,DD
98,Akodon_orophilus,Rodentia,Cricetidae,38.99,73051.28,LC
99,Akodon_paranaensis,Rodentia,Cricetidae,NA,NA,LC
100,Akodon_pervalens,Rodentia,Cricetidae,NA,NA,DD
101,Akodon_reigi,Rodentia,Cricetidae,NA,NA,LC
102,Akodon_sanctipaulensis,Rodentia,Cricetidae,27.1,79134.33,DD
103,Akodon_serrensis,Rodentia,Cricetidae,28.3,51047.49,LC
104,Akodon_siberiae,Rodentia,Cricetidae,34.6,32319.18,NT
105,Akodon_simulator,Rodentia,Cricetidae,42.5,160100.28,LC
106,Akodon_spegazzinii,Rodentia,Cricetidae,28.6,83477.58,LC
107,Akodon_subfuscus,Rodentia,Cricetidae,30.39,353423.95,LC
108,Akodon_surdus,Rodentia,Cricetidae,38.99,17420.46,VU
109,Akodon_sylvanus,Rodentia,Cricetidae,38.99,48393.63,LC
110,Akodon_toba,Rodentia,Cricetidae,51.2,402084.39,LC
111,Akodon_torques,Rodentia,Cricetidae,38.99,41379.72,LC
112,Akodon_varius,Rodentia,Cricetidae,40,245945.15,DD
113,Alcelaphus_buselaphus,Artiodactyla,Bovidae,160937.86,4706770.4,LC
114,Alces_alces,Artiodactyla,Cervidae,461900.76,NA,LC
115,Alces_americanus,Artiodactyla,Cervidae,541460.44,NA,LC
116,Alionycteris_paucidentata,Chiroptera,Pteropodidae,16.24,168.3,LC
117,Allactaga_balikunica,Rodentia,Dipodidae,NA,308292.15,LC
118,Allactaga_bullata,Rodentia,Dipodidae,NA,848001.94,LC
119,Allactaga_elater,Rodentia,Dipodidae,59,4512224.2,LC
120,Allactaga_euphratica,Rodentia,Dipodidae,232,NA,NT
121,Allactaga_firouzi,Rodentia,Dipodidae,NA,200.77,DD
122,Allactaga_hotsoni,Rodentia,Dipodidae,NA,489818.52,LC
123,Allactaga_major,Rodentia,Dipodidae,NA,4637648.53,LC
124,Allactaga_severtzovi,Rodentia,Dipodidae,NA,1143125.94,LC
125,Allactaga_sibirica,Rodentia,Dipodidae,NA,5412535.66,LC
126,Allactaga_tetradactyla,Rodentia,Dipodidae,52,336436.37,VU
127,Allactaga_vinogradovi,Rodentia,Dipodidae,NA,158260.74,NT
128,Allactaga_williamsi,Rodentia,Dipodidae,NA,NA,LC
129,Allactodipus_bobrinskii,Rodentia,Dipodidae,NA,399243.97,LC
130,Allenopithecus_nigroviridis,Primates,Cercopithecidae,4749.96,609031.19,LC
131,Allocebus_trichotis,Primates,Cheirogaleidae,78.09,42488.06,DD
132,Allocricetulus_curtatus,Rodentia,Cricetidae,NA,974905.89,LC
133,Allocricetulus_eversmanni,Rodentia,Cricetidae,NA,1887396.06,LC
134,Alouatta_belzebul,Primates,Atelidae,6157.91,1899561.77,VU
135,Alouatta_caraya,Primates,Atelidae,5576.96,1534736.35,LC
136,Alouatta_guariba,Primates,Atelidae,5188.33,825479.22,LC
137,Alouatta_macconnelli,Primates,Atelidae,NA,1679178.24,LC
138,Alouatta_nigerrima,Primates,Atelidae,NA,183994.3,LC
139,Alouatta_palliata,Primates,Atelidae,6576.99,559554.92,LC
140,Alouatta_pigra,Primates,Atelidae,7172.06,91384.8,EN
141,Alouatta_sara,Primates,Atelidae,6611.04,526742.28,LC
142,Alouatta_seniculus,Primates,Atelidae,6398.31,2516845.21,LC
143,Alticola_albicaudus,Rodentia,Cricetidae,NA,33357.58,DD
144,Alticola_argentatus,Rodentia,Cricetidae,37.69,1225347.54,LC
145,Alticola_barakshin,Rodentia,Cricetidae,NA,498938.65,LC
146,Alticola_lemminus,Rodentia,Cricetidae,NA,3673441.79,LC
147,Alticola_macrotis,Rodentia,Cricetidae,NA,770987.12,LC
148,Alticola_montosa,Rodentia,Cricetidae,NA,70730.17,VU
149,Alticola_olchonensis,Rodentia,Cricetidae,NA,NA,DD
150,Alticola_roylei,Rodentia,Cricetidae,37,22396.36,NT
151,Alticola_semicanus,Rodentia,Cricetidae,NA,741138.76,LC
152,Alticola_stoliczkanus,Rodentia,Cricetidae,30.14,2546208.78,LC
153,Alticola_strelzowi,Rodentia,Cricetidae,49.99,586631.11,LC
154,Alticola_tuvinicus,Rodentia,Cricetidae,NA,439592.76,LC
155,Amblysomus_corriae,Afrosoricida,Chrysochloridae,NA,47134.97,NT
156,Amblysomus_hottentotus,Afrosoricida,Chrysochloridae,62.6,256161.76,LC
157,Amblysomus_marleyi,Afrosoricida,Chrysochloridae,NA,952.47,EN
158,Amblysomus_robustus,Afrosoricida,Chrysochloridae,NA,3194.91,VU
159,Amblysomus_septentrionalis,Afrosoricida,Chrysochloridae,NA,32027.78,NT
160,Ametrida_centurio,Chiroptera,Phyllostomidae,10.61,4577247.97,LC
161,Ammodillus_imbellis,Rodentia,Muridae,49.99,226420.62,DD
162,Ammodorcas_clarkei,Artiodactyla,Bovidae,28049.81,287056.65,VU
163,Ammospermophilus_harrisii,Rodentia,Sciuridae,126.57,270261.06,LC
164,Ammospermophilus_interpres,Rodentia,Sciuridae,112.53,313517.36,LC
165,Ammospermophilus_leucurus,Rodentia,Sciuridae,103.92,990897.69,LC
166,Ammospermophilus_nelsoni,Rodentia,Sciuridae,160.42,4125.09,EN
167,Ammotragus_lervia,Artiodactyla,Bovidae,94202.22,1447450.84,VU
168,Amorphochilus_schnablii,Chiroptera,Furipteridae,NA,437429.66,EN
169,Amphinectomys_savamis,Rodentia,Cricetidae,NA,NA,DD
170,Anathana_ellioti,Scandentia,Tupaiidae,160,1373476.69,LC
171,Andalgalomys_olrogi,Rodentia,Cricetidae,32.9,592.92,LC
172,Andalgalomys_pearsoni,Rodentia,Cricetidae,25.4,62301.94,LC
173,Andinomys_edax,Rodentia,Cricetidae,69.75,332581.78,LC
174,Anisomys_imitator,Rodentia,Muridae,510.5,243507.61,LC
175,Anomalurus_beecrofti,Rodentia,Anomaluridae,479.07,4958782.98,LC
176,Anomalurus_derbianus,Rodentia,Anomaluridae,665.84,7480085.38,LC
177,Anomalurus_pelii,Rodentia,Anomaluridae,1769.99,340631,DD
178,Anomalurus_pusillus,Rodentia,Anomaluridae,250,1979711.36,LC
179,Anonymomys_mindorensis,Rodentia,Muridae,NA,340.54,DD
180,Anotomys_leander,Rodentia,Cricetidae,66.39,29663.44,VU
181,Anoura_caudifer,Chiroptera,Phyllostomidae,10.81,8755498.43,LC
182,Anoura_cultrata,Chiroptera,Phyllostomidae,17.39,1873138.72,NT
183,Anoura_geoffroyi,Chiroptera,Phyllostomidae,15.15,8631465.89,LC
184,Anoura_latidens,Chiroptera,Phyllostomidae,15.06,450082.95,LC
185,Anoura_luismanueli,Chiroptera,Phyllostomidae,NA,24076.62,LC
186,Anourosorex_assamensis,Soricomorpha,Soricidae,NA,NA,LC
187,Anourosorex_schmidi,Soricomorpha,Soricidae,NA,NA,DD
188,Anourosorex_squamipes,Soricomorpha,Soricidae,20,1216617.62,LC
189,Anourosorex_yamashinai,Soricomorpha,Soricidae,NA,36065.98,LC
190,Antechinomys_laniger,Dasyuromorphia,Dasyuridae,25.57,2523957.06,LC
191,Antechinus_adustus,Dasyuromorphia,Dasyuridae,NA,17800.49,LC
192,Antechinus_agilis,Dasyuromorphia,Dasyuridae,22.13,155967.12,LC
193,Antechinus_bellus,Dasyuromorphia,Dasyuridae,38.73,118056.85,LC
194,Antechinus_flavipes,Dasyuromorphia,Dasyuridae,44.33,953346,LC
195,Antechinus_godmani,Dasyuromorphia,Dasyuridae,75.74,3443.22,NT
196,Antechinus_leo,Dasyuromorphia,Dasyuridae,70.09,5555.28,LC
197,Antechinus_minimus,Dasyuromorphia,Dasyuridae,52.56,109624.69,LC
198,Antechinus_stuartii,Dasyuromorphia,Dasyuridae,29.01,173022.67,LC
199,Antechinus_subtropicus,Dasyuromorphia,Dasyuridae,NA,17022.46,LC
200,Antechinus_swainsonii,Dasyuromorphia,Dasyuridae,58.69,319669.55,LC
201,Anthops_ornatus,Chiroptera,Hipposideridae,NA,15373.46,DD
202,Antidorcas_marsupialis,Artiodactyla,Bovidae,33571.24,1066805.09,LC
203,Antilocapra_americana,Artiodactyla,Antilocapridae,47450.01,2009745.94,LC
204,Antilope_cervicapra,Artiodactyla,Bovidae,36301.1,1248646.6,NT
205,Antrozous_pallidus,Chiroptera,Vespertilionidae,22.24,4228781.56,LC
206,Aonyx_capensis,Carnivora,Mustelidae,19322.22,14162350.57,LC
207,Aonyx_cinerea,Carnivora,Mustelidae,3527.59,3673360.97,VU
208,Aotus_azarae,Primates,Aotidae,929.57,663508.32,LC
209,Aotus_lemurinus,Primates,Aotidae,865.96,321845.55,VU
210,Aotus_miconax,Primates,Aotidae,800,70306.69,VU
211,Aotus_nancymaae,Primates,Aotidae,791.03,157985.99,LC
212,Aotus_nigriceps,Primates,Aotidae,1057,1674555.55,LC
213,Aotus_trivirgatus,Primates,Aotidae,912.4,590942.02,LC
214,Aotus_vociferans,Primates,Aotidae,872.99,1226115,LC
215,Aplodontia_rufa,Rodentia,Aplodontiidae,806.21,245595.72,LC
216,Apodemus_agrarius,Rodentia,Muridae,21.11,11086859.77,LC
217,Apodemus_alpicola,Rodentia,Muridae,NA,41907.92,LC
218,Apodemus_argenteus,Rodentia,Muridae,NA,361275.18,LC
219,Apodemus_chevrieri,Rodentia,Muridae,NA,1126694.73,LC
220,Apodemus_draco,Rodentia,Muridae,NA,2625473.87,LC
221,Apodemus_epimelas,Rodentia,Muridae,NA,212820.59,LC
222,Apodemus_flavicollis,Rodentia,Muridae,31.6,5559055.33,LC
223,Apodemus_gurkha,Rodentia,Muridae,NA,25245.52,EN
224,Apodemus_hyrcanicus,Rodentia,Muridae,NA,6808.71,NT
225,Apodemus_latronum,Rodentia,Muridae,NA,494407,LC
226,Apodemus_mystacinus,Rodentia,Muridae,43.84,801977.78,LC
227,Apodemus_pallipes,Rodentia,Muridae,NA,640317.24,LC
228,Apodemus_peninsulae,Rodentia,Muridae,NA,7650074.19,LC
229,Apodemus_ponticus,Rodentia,Muridae,NA,1101404.83,LC
230,Apodemus_rusiges,Rodentia,Muridae,NA,76241.02,LC
231,Apodemus_semotus,Rodentia,Muridae,25.77,36065.98,LC
232,Apodemus_speciosus,Rodentia,Muridae,43.75,361275.18,LC
233,Apodemus_sylvaticus,Rodentia,Muridae,21.9,5043250.55,LC
234,Apodemus_uralensis,Rodentia,Muridae,18.26,7273479.78,LC
235,Apodemus_witherbyi,Rodentia,Muridae,20.66,1430457.53,LC
236,Apomys_abrae,Rodentia,Muridae,34.88,39988.41,DD
237,Apomys_datae,Rodentia,Muridae,34.88,11324.99,LC
238,Apomys_gracilirostris,Rodentia,Muridae,NA,NA,DD
239,Apomys_hylocetes,Rodentia,Muridae,34.88,17394.58,LC
240,Apomys_insignis,Rodentia,Muridae,34.88,95605.19,LC
241,Apomys_littoralis,Rodentia,Muridae,30.95,106985.31,DD
242,Apomys_microdon,Rodentia,Muridae,34.98,26990.03,LC
243,Apomys_musculus,Rodentia,Muridae,21.2,115585.39,LC
244,Apomys_sacobianus,Rodentia,Muridae,34.88,341.33,DD
245,Aproteles_bulmerae,Chiroptera,Pteropodidae,623.91,66662.67,CR
246,Arborimus_albipes,Rodentia,Cricetidae,23,77783.68,LC
247,Arborimus_longicaudus,Rodentia,Cricetidae,22.39,54116.11,NT
248,Arborimus_pomo,Rodentia,Cricetidae,32.49,22031.98,NT
249,Archboldomys_luzonensis,Rodentia,Muridae,35.34,328.3,VU
250,Archboldomys_musseri,Rodentia,Muridae,NA,NA,LC
251,Arctictis_binturong,Carnivora,Viverridae,12999.99,2913838.88,VU
252,Arctocebus_aureus,Primates,Lorisidae,234.16,878239.93,LC
253,Arctocebus_calabarensis,Primates,Lorisidae,258.01,185093.8,LC
254,Arctocephalus_australis,Carnivora,Otariidae,67979.43,NA,LC
255,Arctocephalus_forsteri,Carnivora,Otariidae,101249.99,NA,LC
256,Arctocephalus_galapagoensis,Carnivora,Otariidae,39448.04,NA,EN
257,Arctocephalus_gazella,Carnivora,Otariidae,96599.99,NA,LC
258,Arctocephalus_philippii,Carnivora,Otariidae,94999.99,NA,NT
259,Arctocephalus_pusillus,Carnivora,Otariidae,178500,NA,LC
260,Arctocephalus_townsendi,Carnivora,Otariidae,101063.71,NA,NT
261,Arctocephalus_tropicalis,Carnivora,Otariidae,92222.55,NA,LC
262,Arctogalidia_trivirgata,Carnivora,Viverridae,2323.79,2766097.4,LC
263,Arctonyx_collaris,Carnivora,Mustelidae,8166.52,4519063.86,NT
264,Ardops_nichollsi,Chiroptera,Phyllostomidae,19.23,4493.21,LC
265,Arielulus_aureocollaris,Chiroptera,Vespertilionidae,NA,1761.41,LC
266,Arielulus_circumdatus,Chiroptera,Vespertilionidae,10.4,484035.06,LC
267,Arielulus_cuprosus,Chiroptera,Vespertilionidae,NA,25.19,DD
268,Arielulus_societatis,Chiroptera,Vespertilionidae,NA,7183.23,VU
269,Arielulus_torquatus,Chiroptera,Vespertilionidae,NA,36065.98,LC
270,Ariteus_flavescens,Chiroptera,Phyllostomidae,NA,8821.83,LC
271,Artibeus_amplus,Chiroptera,Phyllostomidae,61.04,704691.93,LC
272,Artibeus_anderseni,Chiroptera,Phyllostomidae,NA,3362837.2,LC
273,Artibeus_aztecus,Chiroptera,Phyllostomidae,20.81,572771.69,LC
274,Artibeus_cinereus,Chiroptera,Phyllostomidae,12.7,1835095.13,LC
275,Artibeus_concolor,Chiroptera,Phyllostomidae,19.65,6473389.12,LC
276,Artibeus_fimbriatus,Chiroptera,Phyllostomidae,63.89,1195211.14,LC
277,Artibeus_fraterculus,Chiroptera,Phyllostomidae,NA,336498.73,LC
278,Artibeus_glaucus,Chiroptera,Phyllostomidae,12.31,10710294.79,LC
279,Artibeus_gnomus,Chiroptera,Phyllostomidae,10.06,8185856.09,LC
280,Artibeus_hirsutus,Chiroptera,Phyllostomidae,40.42,299330.97,LC
281,Artibeus_incomitatus,Chiroptera,Phyllostomidae,NA,3.43,CR
282,Artibeus_inopinatus,Chiroptera,Phyllostomidae,NA,48689.76,DD
283,Artibeus_jamaicensis,Chiroptera,Phyllostomidae,43.63,14327574.52,LC
284,Artibeus_lituratus,Chiroptera,Phyllostomidae,59.3,14275189.62,LC
285,Artibeus_obscurus,Chiroptera,Phyllostomidae,35.91,11220757.02,LC
286,Artibeus_phaeotis,Chiroptera,Phyllostomidae,11.69,1156701.32,LC
287,Artibeus_toltecus,Chiroptera,Phyllostomidae,15.47,1039041.68,LC
288,Artibeus_watsoni,Chiroptera,Phyllostomidae,11.2,415964.09,LC
289,Arvicanthis_abyssinicus,Rodentia,Muridae,73.34,284170.39,LC
290,Arvicanthis_ansorgei,Rodentia,Muridae,NA,NA,LC
291,Arvicanthis_blicki,Rodentia,Muridae,128,25420.47,NT
292,Arvicanthis_nairobae,Rodentia,Muridae,NA,186397,LC
293,Arvicanthis_neumanni,Rodentia,Muridae,NA,1565119.59,LC
294,Arvicanthis_niloticus,Rodentia,Muridae,95.8,9758465.39,LC
295,Arvicanthis_rufinus,Rodentia,Muridae,NA,NA,LC
296,Arvicola_amphibius,Rodentia,Cricetidae,120,18177352,LC
297,Arvicola_sapidus,Rodentia,Cricetidae,219.99,1001465.45,VU
298,Arvicola_scherman,Rodentia,Cricetidae,NA,NA,LC
299,Asellia_patrizii,Chiroptera,Hipposideridae,NA,132910.18,LC
300,Asellia_tridens,Chiroptera,Hipposideridae,12.94,13554119.99,LC
301,Aselliscus_stoliczkanus,Chiroptera,Hipposideridae,6.09,1399537.9,LC
302,Aselliscus_tricuspidatus,Chiroptera,Hipposideridae,4.08,300956.24,LC
303,Atelerix_albiventris,Erinaceomorpha,Erinaceidae,293.44,11091420.66,LC
304,Atelerix_algirus,Erinaceomorpha,Erinaceidae,903.98,815329.89,LC
305,Atelerix_frontalis,Erinaceomorpha,Erinaceidae,329.12,1497998.13,LC
306,Atelerix_sclateri,Erinaceomorpha,Erinaceidae,NA,198274.28,LC
307,Ateles_belzebuth,Primates,Atelidae,6692.42,1030364.23,EN
308,Ateles_chamek,Primates,Atelidae,7053.92,990902.31,EN
309,Ateles_fusciceps,Primates,Atelidae,9067.94,201579.73,CR
310,Ateles_geoffroyi,Primates,Atelidae,7582.4,806609.19,EN
311,Ateles_hybridus,Primates,Atelidae,NA,144643.82,CR
312,Ateles_marginatus,Primates,Atelidae,6229.28,831855.4,EN
313,Ateles_paniscus,Primates,Atelidae,8697.25,892635.1,VU
314,Atelocynus_microtis,Carnivora,Canidae,8363.22,7634256.6,NT
315,Atherurus_africanus,Rodentia,Hystricidae,2875.65,5140711.56,LC
316,Atherurus_macrourus,Rodentia,Hystricidae,2000,2597040.51,LC
317,Atilax_paludinosus,Carnivora,Herpestidae,3600.16,14296320.45,LC
318,Atlantoxerus_getulus,Rodentia,Sciuridae,250.57,179364.26,LC
319,Auliscomys_boliviensis,Rodentia,Cricetidae,70.91,207032.77,LC
320,Auliscomys_pictus,Rodentia,Cricetidae,48.97,309321.99,LC
321,Auliscomys_sublimis,Rodentia,Cricetidae,38,497531.43,LC
322,Avahi_laniger,Primates,Indriidae,1092.28,85075.49,LC
323,Avahi_occidentalis,Primates,Indriidae,828.98,7563.78,EN
324,Avahi_unicolor,Primates,Indriidae,NA,2508.24,DD
325,Axis_axis,Artiodactyla,Cervidae,69499.99,2041090.04,LC
326,Axis_calamianensis,Artiodactyla,Cervidae,39812.6,1345.4,EN
327,Axis_kuhlii,Artiodactyla,Cervidae,54999.99,197.86,CR
328,Axis_porcinus,Artiodactyla,Cervidae,37448.29,2017514.05,EN
329,Babyrousa_babyrussa,Artiodactyla,Suidae,92950.09,13309.7,VU
330,Babyrousa_celebensis,Artiodactyla,Suidae,NA,47657.62,VU
331,Babyrousa_togeanensis,Artiodactyla,Suidae,NA,536.65,EN
332,Baiomys_musculus,Rodentia,Cricetidae,8.99,452712.43,LC
333,Baiomys_taylori,Rodentia,Cricetidae,7.43,1097470.53,LC
334,Balaena_mysticetus,Cetacea,Balaenidae,79691178.99,NA,LC
335,Balaenoptera_acutorostrata,Cetacea,Balaenopteridae,5587093.59,NA,LC
336,Balaenoptera_bonaerensis,Cetacea,Balaenopteridae,NA,NA,DD
337,Balaenoptera_borealis,Cetacea,Balaenopteridae,22106251.95,NA,EN
338,Balaenoptera_edeni,Cetacea,Balaenopteridae,19999999.97,NA,DD
339,Balaenoptera_musculus,Cetacea,Balaenopteridae,154321304.5,NA,EN
340,Balaenoptera_physalus,Cetacea,Balaenopteridae,47506008.23,NA,EN
341,Balantiopteryx_infusca,Chiroptera,Emballonuridae,NA,68801.56,EN
342,Balantiopteryx_io,Chiroptera,Emballonuridae,3.97,211758.21,VU
343,Balantiopteryx_plicata,Chiroptera,Emballonuridae,6.57,841946.43,LC
344,Balionycteris_maculata,Chiroptera,Pteropodidae,14.43,870187.37,LC
345,Bandicota_bengalensis,Rodentia,Muridae,226.99,3698085.54,LC
346,Bandicota_indica,Rodentia,Muridae,583.09,6308602.34,LC
347,Bandicota_savilei,Rodentia,Muridae,260.63,678506.64,LC
348,Barbastella_barbastellus,Chiroptera,Vespertilionidae,8.31,3884782.92,NT
349,Barbastella_leucomelas,Chiroptera,Vespertilionidae,15.05,3609915.54,LC
350,Bassaricyon_alleni,Carnivora,Procyonidae,NA,467192.71,LC
351,Bassaricyon_beddardi,Carnivora,Procyonidae,1235.01,441326.32,LC
352,Bassaricyon_gabbii,Carnivora,Procyonidae,1250,803202.18,LC
353,Bassaricyon_lasius,Carnivora,Procyonidae,1200,3842.65,DD
354,Bassaricyon_pauli,Carnivora,Procyonidae,1200,1402.79,DD
355,Bassariscus_astutus,Carnivora,Procyonidae,1010.37,3916072.44,LC
356,Bassariscus_sumichrasti,Carnivora,Procyonidae,906,625977.74,LC
357,Bathyergus_janetta,Rodentia,Bathyergidae,388.69,33849.47,LC
358,Bathyergus_suillus,Rodentia,Bathyergidae,777.38,59404.22,LC
359,Batomys_dentatus,Rodentia,Muridae,NA,366.42,DD
360,Batomys_granti,Rodentia,Muridae,169.53,731.71,NT
361,Batomys_russatus,Rodentia,Muridae,NA,NA,EN
362,Batomys_salomonseni,Rodentia,Muridae,185.76,102368.09,LC
363,Bauerus_dubiaquercus,Chiroptera,Vespertilionidae,22.22,295020.71,NT
364,Bdeogale_crassicauda,Carnivora,Herpestidae,1722.13,1654322.83,LC
365,Bdeogale_jacksoni,Carnivora,Herpestidae,2500,81428.64,NT
366,Bdeogale_nigripes,Carnivora,Herpestidae,2623.01,3117248.8,LC
367,Beamys_hindei,Rodentia,Nesomyidae,75.8,123659.9,LC
